Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
1,China,Hunan,2020-01-31,332,,2,332,,2,,,,,
2,China,Hunan,2020-02-29,1018,4,846,,,844,,,,,
3,China,Hunan,2020-03-31,1018,4,1014,168,0,168,1.0,0.0,1.0,168,
4,China,Hunan,2020-04-30,1019,4,1015,1,0,1,1.0,0.0,1.0,1,0.0
5,China,Hunan,2020-05-31,1019,4,1015,0,0,0,,,,0,
6,China,Hunan,2020-06-30,1019,4,1015,0,0,0,,,,0,
7,China,Hunan,2020-07-31,1019,4,1015,0,0,0,,,,0,
8,China,Hunan,2020-08-31,1019,4,1015,0,0,0,,,,0,
9,China,Hunan,2020-09-30,1019,4,1015,0,0,0,,,,0,
10,China,Hunan,2020-10-31,1020,4,1015,1,0,0,0.0,,,0,
11,China,Hunan,2020-11-24,1020,4,1016,1,0,1,1.0,0.0,1.0,1,
