Index,Region,Subregion,Month,Confirmed,Deaths,Recovered,Month_Confirmed,Month_Deaths,Month_Recovered,Month_Treated%,Month_Deaths%,Month_Recovered%,Month_Treated,Recovered_Change
2,Afghanistan,,2020-02-29,1,0,0,1,0,0,0.0,,,0,
3,Afghanistan,,2020-03-31,174,4,5,174,4,5,0.05172413793103448,0.4444444444444444,0.5555555555555556,9,
4,Afghanistan,,2020-04-30,2171,64,260,2162,60,255,0.14569842738205366,0.19047619047619047,0.8095238095238095,315,0.25396825396825395
5,Afghanistan,,2020-05-31,15205,257,1328,14881,193,1068,0.08473892883542773,0.15305313243457574,0.8469468675654243,1261,0.03742305804161472
6,Afghanistan,,2020-06-30,31517,746,14131,29932,489,12803,0.4440732326606976,0.03678904604273247,0.9632109539572675,13292,0.11626408639184327
7,Afghanistan,,2020-07-31,36675,1272,25509,21798,526,11378,0.5461051472612166,0.04418682795698925,0.9558131720430108,11904,-0.0073977819142567736
8,Afghanistan,,2020-08-31,38165,1402,29089,11384,130,3580,0.3258959943780745,0.03504043126684636,0.9649595687331537,3710,0.009146396690142944
9,Afghanistan,,2020-09-30,39268,1458,32789,8777,56,3700,0.42793665261478864,0.014909478168264111,0.9850905218317358,3756,0.02013095309858215
10,Afghanistan,,2020-10-31,41425,1536,34321,7178,78,1532,0.22429646140986348,0.0484472049689441,0.9515527950310559,1610,-0.0335377268006799
11,Afghanistan,,2020-11-27,45839,1740,36295,9982,204,1974,0.2181927469445001,0.09366391184573003,0.90633608815427,2178,-0.04521670687678592
3,Albania,,2020-03-31,243,15,52,243,15,52,0.2757201646090535,0.22388059701492538,0.7761194029850746,67,
4,Albania,,2020-04-30,773,31,470,706,16,418,0.6147308781869688,0.03686635944700461,0.9631336405529954,434,0.1870142375679208
5,Albania,,2020-05-31,1137,33,872,636,2,402,0.6352201257861635,0.0049504950495049506,0.995049504950495,404,0.031915864397499605
6,Albania,,2020-06-30,2535,62,1459,1630,29,587,0.37791411042944784,0.04707792207792208,0.952922077922078,616,-0.0421274270284171
7,Albania,,2020-07-31,5276,157,2952,3755,95,1493,0.4229027962716378,0.05982367758186398,0.940176322418136,1588,-0.012745755503941969
8,Albania,,2020-08-31,9513,284,5214,6404,127,2262,0.3730480949406621,0.053160318124738384,0.9468396818752616,2389,0.006663359457125595
9,Albania,,2020-09-30,13649,387,7847,8151,103,2633,0.3356643356643357,0.03764619883040936,0.9623538011695907,2736,0.01551411929432911
